question_id,type,P@3,P@5,AP,retriever
1,factual,0.6666666666666666,0.6,0.7555555555555555,dense
2,factual,1.0,1.0,1.0,dense
3,factual,1.0,1.0,1.0,dense
4,factual,1.0,1.0,1.0,dense
5,factual,0.6666666666666666,0.6,0.7555555555555555,dense
6,factual,1.0,1.0,1.0,dense
7,factual,1.0,1.0,1.0,dense
8,factual,1.0,1.0,1.0,dense
9,factual,0.3333333333333333,0.6,0.5333333333333333,dense
10,factual,1.0,1.0,1.0,dense
11,conceptual,0.3333333333333333,0.2,0.5,dense
12,conceptual,1.0,1.0,1.0,dense
13,conceptual,0.6666666666666666,0.8,0.6791666666666667,dense
14,conceptual,0.3333333333333333,0.6,0.4777777777777777,dense
15,conceptual,1.0,1.0,1.0,dense
16,conceptual,0.3333333333333333,0.2,0.3333333333333333,dense
17,applied,1.0,1.0,1.0,dense
18,applied,1.0,1.0,1.0,dense
19,applied,1.0,1.0,1.0,dense
20,applied,0.6666666666666666,0.8,0.8875,dense
MEAN,all,0.7999999999999999,0.8200000000000001,0.846111111111111,dense
1,factual,0.0,0.4,0.325,sparse
2,factual,1.0,1.0,1.0,sparse
3,factual,1.0,1.0,1.0,sparse
4,factual,1.0,1.0,1.0,sparse
5,factual,0.6666666666666666,0.8,0.8041666666666667,sparse
6,factual,1.0,1.0,1.0,sparse
7,factual,0.3333333333333333,0.4,0.41666666666666663,sparse
8,factual,1.0,1.0,1.0,sparse
9,factual,0.3333333333333333,0.2,1.0,sparse
10,factual,0.6666666666666666,0.8,0.8875,sparse
11,conceptual,0.3333333333333333,0.4,0.7,sparse
12,conceptual,1.0,1.0,1.0,sparse
13,conceptual,0.6666666666666666,0.8,0.8041666666666667,sparse
14,conceptual,0.3333333333333333,0.4,0.5,sparse
15,conceptual,0.3333333333333333,0.4,0.7,sparse
16,conceptual,0.6666666666666666,0.6,0.7555555555555555,sparse
17,applied,1.0,0.8,1.0,sparse
18,applied,1.0,0.8,1.0,sparse
19,applied,1.0,1.0,1.0,sparse
20,applied,0.6666666666666666,0.8,0.8875,sparse
MEAN,all,0.7,0.7300000000000002,0.8390277777777777,sparse
1,factual,0.3333333333333333,0.6,0.7000000000000001,hybrid
2,factual,1.0,1.0,1.0,hybrid
3,factual,1.0,1.0,1.0,hybrid
4,factual,1.0,1.0,1.0,hybrid
5,factual,0.6666666666666666,0.6,0.8055555555555555,hybrid
6,factual,1.0,1.0,1.0,hybrid
7,factual,0.3333333333333333,0.6,0.7000000000000001,hybrid
8,factual,1.0,1.0,1.0,hybrid
9,factual,0.6666666666666666,0.4,0.5833333333333333,hybrid
10,factual,1.0,0.8,0.95,hybrid
11,conceptual,0.6666666666666666,0.4,0.8333333333333333,hybrid
12,conceptual,1.0,1.0,1.0,hybrid
13,conceptual,0.6666666666666666,0.8,0.6791666666666667,hybrid
14,conceptual,0.3333333333333333,0.4,0.7,hybrid
15,conceptual,1.0,0.6,1.0,hybrid
16,conceptual,0.3333333333333333,0.4,0.7,hybrid
17,applied,1.0,1.0,1.0,hybrid
18,applied,1.0,1.0,1.0,hybrid
19,applied,1.0,1.0,1.0,hybrid
20,applied,1.0,0.8,1.0,hybrid
MEAN,all,0.8,0.7699999999999999,0.8825694444444444,hybrid
